/* Group A */
The Gummy Bear Clan (USA);#03c78;#ce00
The Muffin Men (UT);#bf570;#ffffff
R.T.B (UTK);#ff820;#ffffff
JSU Gamecocks (JSU);#d31245;#ffffff
TTU Esport (TTU);#4f2984;#ffdd0
Heroes of ACU (ACU);#461d7c;#ffffff
SMUrky (SMU);#c8102e;#033a0
RavenLords (SHSU);#fe500;#ffffff
Ramblin' Rekt (GT);#c59353;#ffffff
Bulls Deep (USF);#06747;#cfc493
Tigers (RIT);#513127;#f36e21
Hotshot Huskies (UCONN);#0e2f;#ffffff
The Button Mashers (JHU);#1f376a;#ffffff
RedMen (MU);#da291c;#ffffff
Liberty Flames (LU);#a254e;#af00
Frozen Ember (GMU);#06633;#ffcc33
Meow Meowers (PSU);#03087;#ffffff
Brick City Gamers (RIT);#513127;#f36e21
UMBC Retrievers (UMBC);#000;#ffc2e
UB Storm Bulls (UB);#05bbb;#ffffff
Murky Main (VT);#861f41;#e87722
UMBC Meme Dream Team (UMBC);#000;#ffc2e
UMass Minutemen (UMA);#881c1c;#ffffff
Wolfienet pls (SBU);#9900;#000
Mountain Hawks (LU);#653819;#b9975b
Head of Rooster (PSU);#03087;#ffffff
Thief Six (BU);#cc00;#ffffff
Hokie Hi (VT);#861f41;#e87722
Chargers (UNH);#02d72;#ffffff
Inter's Paradise (MSU);#ce1141;#ffffff
M.U.G.A (Laval);#ed1c24;#ffcb5
William&Mary (WM);#115740;#b9975b
Oh My Gall (RIT);#513127;#f36e21
Engineers (RPI);#da291c;#707372
RMU (RMU);#41e42;#d2515e
NYIT CyBears (NYIT);#050a1;#ffffff
YOLO SQUAD (Laval);#ed1c24;#ffcb5
Berserkers (BSC);#00ff;#ffd70
The Rojo Papi's (MC);#c8102e;#ffffff
Vert & Or (Heroes) (US);#0a656;#ffffff
WVU Tech E-Sports (WVU);#02855;#eaaa0
HashslingingSlashers (SIT);#9d2235;#97999b
Pitt (PITT);#1c2957;#cdb87d
UR Gaming (UR);#ffdd0;#0467f
Vate Nation (WPI);#ac2b37;#a9b0b7
VCCS (VCCS);#173362;#661c20
Barbecue Scholars (UTAH);#cc00;#000
UCSaddleback (SCC);#b3838;#fdbe57
Justin Fan Club (UCR);#2d6cc0;#f1ab0
Gaucho Gaming (UCSB);#0468b;#ffce34
The Lost Vandals (UIDAHO);#b18e5f;#9f9d9d
Code: Crimson (WSU);#99033;#666666
SLOths (CPSU);#35642;#b4a76c
Huskie Doges (UW);#4b2e83;#e8e3d3
The Dualists* (MRU);#07aa5;#03049
Triple B (WSU);#492365;#575047
Digipen Dragons (DIT);#9910;#ffffff
Merage Nights (UCI);#064a4;#ffd20
Abyss  Storm 2 (SFU);#a6192e;#54585a
The FanBots (UVU);#67823a;#000
Stormbreakers (UVU);#67823a;#000
Banana is good (UCSC);#0458c;#f1b521
Macewan Griffins (GMU);#8b2332;#ffffff
Gluttony (SDSU);#a6192e;#000
Little China (CAL);#41e42;#ffc72c
50ShadesofGreymane (UNLV);#b122;#666666
NOBULL (CSUN);#d0d2d;#ffffff
In the Rhythm (UCLA);#3284be;#ffffff
Ragnarok 'n' Roll (WWU);#03f87;#083d6
Desert Sunsets (UA);#cc033;#03366
oh no (BYU);#02255;#c5af7d
UAlberta Direwolves (UofA);#07c41;#ffdb5
Ice Lance Lancers (CBU);#02554;#a3740
BamBamBam (CPP);#1e4d2b;#c693a
Washed Up (ASU);#99033;#ffb310
Mud (HMC);#b68c31;#231f20
Phillips Fishermen (PU);#0205c;#ee7624
Dragonstorm (CPC);#ff720;#808080
Team No Show (UofC);#cc00;#ffcc0
SCU (SCU);#b3838;#a7a586
Corn snakes (UIDAHO);#b18e5f;#9f9d9d
Nerf Murky (UCSB);#0468b;#ffce34
GCU Esports (GCU);#522398;#000
Campanile of Doom (CAL);#41e42;#ffc72c
 Just Get 20 (BYUI);#071b1;#ffffff
Cruz Control (UCSC);#0458c;#f1b521
gFG (UR);#8000;#373a43
FrozenThrone (BYUI);#071b1;#ffffff
DA Acrobats (DC);#000;#ffffff
BYU-I Vikings (BYUI);#071b1;#ffffff
NAU Gaming (NAU);#0205b;#5c7f71
Augustana Vikings (UofA);#07c41;#ffdb5
Fish and Turtle Club (UW);#4b2e83;#e8e3d3
Phoenix Fire (UOPX);#de291e;#8d8c8a
Wildcat Gaming (CSUC);#9a122c;#ffffff
Triton B Team (UCSD);#182b49;#c69214
Boosted Bulldogs (CSUF);#c41230;#02c76
Tenacious Dingos (UTAH);#cc00;#000
SB Coyotes (CSUSB);#00ff;#000
Clarke's Angels (CSUC);#9a122c;#ffffff
Lancers (CBU);#02554;#a3740
Fairy Shrimp (UCM);#326295;#c9970
O-Bar Heroes (UO);#154733;#fee123
Theta Chi (UOP);#e181d;#996c60
